NEO,GC,Time in Mating Season
158.355171,999.4244793,Early
177.5958799,1569.16917,Early
281.3496353,619.6774194,Early
153.8496157,375.5115824,Early
222.7260672,777.2716815,Early
183.0374069,829.3711415,Early
113.1489645,726.2700431,Early
232.704393,673.2331031,Early
215.4328862,746.981115,Early
284.2875375,562.30149,Early
203.651891,1214.758992,Early
125.9879161,656.6811334,Early
261.9820574,848.9864366,Early
162.5863666,540.1288233,Early
289.3251486,315.1980075,Early
161.4243338,1072.316321,Early
318.1035412,758.4309284,Early
134.129351,1013.133315,Late
231.6540766,1007.669423,Late
340.85286,657.9568197,Late
233.2288199,453.5002789,Late
301.0285473,676.6130479,Late
367.1724671,870.156464,Late
189.4453731,645.3626233,Late
250.5276741,820.9800258,Late
369.351148,638.8613888,Late
303.883315,376.7070921,Late
199.9140908,1026.597093,Late
189.4179713,547.811322,Late
303.6626676,609.4829366,Late
278.2730635,763.0541244,Late
193.4988817,599.1695247,Late
317.1338434,1144.985104,Late
551.7621714,466.0441426,Late
