SampleNo,Focal ID,Date,Month,Time,Initials,Dry Weight (g),"3a,11ß…",dilution,pg/50µl,final.conc
13,1E5,01/15/15,1,10:40 AM,LR,0.063,,80,3.8,289.5
14,6I1,01/15/15,1,10:08 AM,LR,0.052,,80,4.4,406.2
15,7I5,01/16/15,1,9:38 AM,CR,0.058,,80,6.4,529.7
16,4I8,01/16/15,1,12:58 PM,CR,0.063,,80,11.4,868.6
17,8D6,01/19/15,1,7:38 AM,LR,0.058,,80,9.4,777.9
18,0G8,01/19/15,1,8:07 AM,LR,0.061,,80,3.3,259.7
19,5G2,01/19/15,1,8:12 AM,LR,0.053,,80,5.6,507.2
20,6H2,01/19/15,1,8:27 AM,CR,0.057,,80,13.3,1120.0
21,5B2,01/19/15,1,9:22 AM,CR,0.052,,80,11.4,1052.3
22,0J9,01/19/15,1,11:27 AM,LR,0.061,,80,5.4,424.9
23,3I3,01/20/15,1,7:36 AM,CR,0.069,,80,4.3,299.1
24,IE5,01/20/15,1,8:17 AM,CR,0.068,,80,3,211.8
25,7G2,01/20/15,1,12:12 PM,LR,0.055,,80,15.1,1317.8
26,7I5,01/21/15,1,8:42 AM,LR,0.057,,80,9.1,766.3
27,8C3,01/21/15,1,9:10 AM,LR,0.06,,80,9.3,744.0
28,8H2,01/21/15,1,1:00 AM,LR,0.061,,80,32.9,2588.9
29,0G1,01/21/15,1,7:50 AM,CR,0.052,,80,7.1,655.4
30,0G1,01/21/15,1,8:50 AM,CR,0.062,,80,12,929.0
31,3I5,01/21/15,1,2:11 AM,CR,0.063,,80,11,838.1
32,0J4,01/22/15,1,7:44 AM,LR,0.066,,80,1.7,123.6
33,6I1,01/23/15,1,8:16 AM,CR,0.061,,80,7.9,621.6
34,6H2,01/26/15,1,8:11 AM,CR,0.054,,80,10.8,960.0
35,6I1,01/26/15,1,9:30 AM,LR,0.051,,80,5.4,508.2
36,8H2,01/26/15,1,9:49 AM,CR,0.06,,80,18.7,1496.0
37,3I3,01/26/15,1,10:29 AM,CR,0.052,,80,7.1,655.4
38,0J0,01/26/15,1,12:54 PM,CR,0.051,,80,10.1,950.6
39,5B2,01/26/15,1,1:52 AM,LR,0.057,,80,17.3,1456.8
40,1E5,01/26/15,1,10:05 AM,LR,0.055,,80,5.7,497.5
41,0G8,01/26/15,1,9:45 AM,LR,0.058,,80,8.1,670.3
42,0J1,01/26/15,1,8:32 AM,LR,0.066,,80,7.7,560.0
43,0J9,01/27/15,1,1:23 AM,LR,0.054,,80,14.3,1271.1
44,7I5,01/27/15,1,9:05 AM,LR,0.053,,80,6.8,615.8
45,7G2,01/27/15,1,9:50 AM,CR,0.058,,80,8.9,736.6
46,8C3,01/27/15,1,10:52 AM,CR,0.052,,80,6.7,618.5
47,8C3,01/28/15,1,11:47 AM,CR,0.06,,80,7,560.0
48,6H2,01/28/15,1,9:47 AM,LR,0.05,,80,5,480.0
49,1E5,01/28/15,1,1:55 AM,LR,0.056,,80,12,1028.6
50,3I5,01/29/15,1,9:10 AM,LR,0.062,,80,9.5,735.5
51,0J0,01/30/15,1,8:23 AM,CR,0.055,,80,3.6,314.2
52,0J0,01/30/15,1,8:24 AM,JH,0.056,,80,15.2,1302.9
53,4I8,01/30/15,1,10:43 AM,LR,0.05,,80,5.9,566.4
54,8D6,01/30/15,1,8:17 AM,CR,0.061,,80,6.8,535.1
55,5G2,01/30/15,1,1:40 AM,LR,0.06,,80,10.5,840.0
56,0J9,01/30/15,1,1:53 AM,LR,0.056,,80,35.6,3051.4
57,6H2,02/02/15,2,10:14 AM,CR,0.053,,80,7.5,679.2
58,8B5,02/02/15,2,10:01 AM,CR,0.059,,80,10.4,846.1
59,0G8,02/03/15,2,7:58 AM,LR,0.055,,80,17.7,1544.7
60,6H2,02/03/15,2,7:30 AM,CR,0.057,,80,9.7,816.8
61,4I8,02/03/15,2,9:00 AM,CR,0.061,,80,4.4,346.2
62,1E5/,02/03/15,2,12:04 PM,CR,0.071,,80,35.4,2393.2
