Date,Focal,Measure,CR,LR
04/14/15,3I3,TotalGr,0:09:00,0:08:48
04/14/15,3I3,RecGr,0:02:18,0:02:22
04/14/15,3I3,GiveGr,0:06:42,0:06:26
03/03/15,3I5,TotalGr,0:18:16,0:18:37
03/03/15,3I5,RecGr,0:18:16,0:18:31
03/03/15,3I5,GiveGr,0:00:00,0:00:06
03/03/15,5B2,TotalGr,0:00:00,0:00:00
03/03/15,5B2,RecGr,0:00:00,0:00:00
03/03/15,5B2,GiveGr,0:00:00,0:00:00
03/04/15,6H2,TotalGr,0:00:13,0:00:10
03/04/15,6H2,RecGr,0:00:13,0:00:10
03/04/15,6H2,GiveGr,0:00:00,0:00:00
03/06/15,6H2,TotalGr,0:00:00,0:00:00
03/06/15,6H2,RecGr,0:00:00,0:00:00
03/06/15,6H2,GiveGr,0:00:00,0:00:00
04/15/15,6I2,TotalGr,0:00:00,0:00:00
04/15/15,6I2,RecGr,0:00:00,0:00:00
04/15/15,6I2,GiveGr,0:00:00,0:00:00
04/14/15,8D6,TotalGr,0:17:17,0:15:46
04/14/15,8D6,RecGr,0:16:59,0:15:28
04/14/15,8D6,GiveGr,0:00:18,0:00:18
04/15/15,8H2,TotalGr,0:00:00,0:00:00
04/15/15,8H2,RecGr,0:00:00,0:00:00
04/15/15,8H2,GiveGr,0:00:00,0:00:00
