"","IDDate","SampleNo","Animal.ID","Date","Month","Time","Initials","Assay.date","ul.sample","ul.buffer","NEO.Dilution.factor","NEO.Result..nmol.L.","NEO.DF","Creatinine..mg.ml.","CR.Dilution.factor","CR.DF","NEO.CR","RelRank"
"1","6H242018",9,"6H2",2015-01-14,1,"2:11 PM","CR","8/9/16",20,180,10,10.971,109.71,0.007,10,0.07,396.83674,0.326923077
"2","3I342019",10,"3I3",2015-01-15,1,"9:17 AM","CR","10/14/16",10,390,40,37.979,1519.16,0.037,80,2.96,129.94977,0.230769231
"3","0J142019",11,"0J1",2015-01-15,1,"1:33 PM","CR","10/14/16",10,390,40,21.994,879.76,0.069,40,2.76,80.70842,0.346153846
"4","5B242020",13,"5B2",2015-01-16,1,"11:50 AM","LR","8/9/16",20,180,10,13.269,132.69,0.023,10,0.23,146.07438,0.153846154
"5","3I342020",15,"3I3",2015-01-16,1,"11:09 AM","CR","8/9/16",20,180,10,40.738,407.38,0.054,10,0.54,191.01596,0.230769231
"6","0J042023",16,"0J0",2015-01-19,1,"11:35 AM","CR","10/14/16",5,45,10,101.959,1019.59,0.249,10,2.49,103.67879,0.384615385
"7","3I342023",19,"3I3",2015-01-19,1,"9:40 AM","LR","10/14/16",20,180,10,101.051,1010.51,0.094,10,0.94,272.19269,0.230769231
"8","0J142024",21,"0J1",2015-01-20,1,"9:42 AM","LR","10/14/16",20,180,10,18.185,181.85,0.016,10,0.16,287.77763,0.346153846
"9","6H242024",23,"6H2",2015-01-20,1,"1:58 PM","CR","10/14/16",20,180,10,17.614,176.14,0.014,10,0.14,318.56177,0.326923077
"10","3I542024",24,"3I5",2015-01-20,1,"10:00 AM","CR","10/14/16",20,180,10,7.211,72.11,0.008,10,0.08,228.22815,0.25
"11","0J042024",25,"0J0",2015-01-20,1,"12:15 PM","CR","12/5/16",10,390,40,28.217,1128.68,0.14,10,1.4,204.12984,0.384615385
"12","6I142025",26,"6I1",2015-01-21,1,"12:21 PM","CR","10/14/16",20,180,10,9.881,98.81,0.03,10,0.3,83.39564,0.365384615
"13","5G242027",31,"5G2",2015-01-23,1,"10:04 AM","LR","12/5/16",10,390,40,26.151,1046.04,0.061,40,2.44,108.54809,0.596153846
"14","6H242030",34,"6H2",2015-01-26,1,"1:40 PM","LR","10/14/16",10,90,10,61.181,611.81,0.067,10,0.67,231.20939,0.326923077
"15","6I142030",37,"6I1",2015-01-26,1,"9:24 AM","LR","12/5/16",5,95,20,24.158,483.16,0.092,10,0.92,132.97403,0.365384615
"16","5G242032",45,"5G2",2015-01-28,1,"8:00 AM","LR","2/15/17",10,190,20,22.4545,449.09,0.074,10,0.74,153.66161,0.596153846
"17","6H242032",46,"6H2",2015-01-28,1,"10:10 AM","LR","12/5/16",10,190,20,19.056,381.12,0.056,10,0.56,172.32069,0.326923077
"18","0J142033",48,"0J1",2015-01-29,1,"8:01 AM","CR","10/14/16",20,180,10,18.156,181.56,0.01,10,0.1,459.70992,0.346153846
"19","6H242033",49,"6H2",2015-01-29,1,"10:41 AM","CR","12/16/16",10,90,10,11.892,118.92,0.012,10,0.12,250.9212,0.326923077
"20","5G242034",51,"5G2",2015-01-30,1,"10:38 AM","CR","10/14/16",5,45,10,158.46,1584.6,0.22,10,2.2,182.37305,0.596153846
"21","3I542034",53,"3I5",2015-01-30,1,"1:05 PM","CR","12/5/16",10,790,80,16.653,1332.24,0.088,10,0.88,383.32178,0.25
"22","5B242034",55,"5B2",2015-01-30,1,"8:50 AM","LR","12/5/16",10,790,80,43.968,3517.44,0.094,40,3.76,236.86591,0.153846154
"23","3I242034",56,"3I2",2015-01-30,1,"10:00 AM","LR","2/15/17",10,90,10,6.474,64.74,0.012,10,0.12,136.6014,0.269230769
"24","0J042034",57,"0J0",2015-01-30,1,"9:24 AM","JH","12/5/16",10,790,80,13.71,1096.8,0.091,10,0.91,305.17556,0.384615385
"25","5B242037",60,"5B2",2015-02-02,2,"1:30 PM","CR","2/15/17",5,395,80,39.723,3177.84,0.099,40,3.96,203.18916,0.153846154
"26","6H242038",61,"6H2",2015-02-03,2,"8:54 AM","LR","12/5/16",10,790,80,10.759,860.72,0.107,10,1.07,203.67692,0.326923077
"27","6H242038",62,"6H2",2015-02-03,2,"1:40 PM","CR","2/15/17",5,95,20,14.341,286.82,0.028,10,0.28,259.36723,0.326923077
"28","3I242038",63,"3I2",2015-02-03,2,"8:40 AM","CR","2/15/17",5,195,40,12.38,495.2,0.129,10,1.29,97.1974,0.269230769
"29","1E542038",65,"1E5",2015-02-03,2,"10:20 AM","CR","12/16/16",10,390,40,5.558,222.32,0.029,10,0.29,194.10836,0.480769231
"30","8D642039",66,"8D6",2015-02-04,2,"11:50 AM","LR","12/5/16",10,390,40,49.203,1968.12,0.153,10,1.53,325.70456,0.461538462
"31","3I542039",67,"3I5",2015-02-04,2,"8:20 AM","LR","10/21/16",10,390,40,17.295,691.8,0.135,10,1.35,129.75093,0.25
"32","3I242039",69,"3I2",2015-02-04,2,"8:45 AM","LR","12/5/16",10,90,10,6.168,61.68,0.014,10,0.14,111.55269,0.269230769
"33","3I242039",70,"3I2",2015-02-04,2,"9:03 AM","LR","12/5/16",10,90,10,4.231,42.31,0.008,10,0.08,133.91115,0.269230769
"34","0J142040",71,"0J1",2015-02-05,2,"9:20 AM","LR","10/21/16",10,390,40,3.345,133.8,0.016,10,0.16,211.7385,0.346153846
"35","3I342040",72,"3I3",2015-02-05,2,"12:35 PM","LR","10/21/16",10,390,40,5.957,238.28,0.039,10,0.39,154.69871,0.230769231
