IDDate,ID,Date,DatePlus15,Week,Rank,Total GR,Total GR Rec,Total GR Given,GR AF,TotalKnownDuration,FreqTotalGR,FreqGRRec,FreqGRGiven,FreqGRAF,5mAF,5mAllAdults,Scansperday,FreqAFProx,FreqAllAdultProx
0G81/21/2015,0G8,1/21/15,2/5/15,4,27,0:16:56,0:16:56,0:00:00,0:00:00,0:30:21,0.5579352,0.5579352,0,0,0,0,7,0,0
0G81/26/2015,0G8,1/26/15,2/10/15,5,27,0:00:00,0:00:00,0:00:00,0:00:00,0:30:22,0,0,0,0,1,5,7,0.142857143,0.714285714
0G81/27/2015,0G8,1/27/15,2/11/15,5,27,0:00:07,0:00:07,0:00:00,0:00:00,0:30:29,0.003827228,0.003827228,0,0,1,5,7,0.142857143,0.714285714
0G82/10/2015,0G8,2/10/15,2/25/15,7,27,0:06:24,0:06:24,0:00:00,0:00:00,1:00:44,0.105378705,0.105378705,0,0,1,3,14,0.071428571,0.214285714
0G82/17/2015,0G8,2/17/15,3/4/15,8,27,0:00:00,0:00:00,0:00:00,0:00:00,0:15:44,0,0,0,0,4,6,4,1,1.5
0G82/2/2015,0G8,2/2/15,2/17/15,6,27,0:00:00,0:00:00,0:00:00,0:00:00,0:31:07,0,0,0,0,3,5,6,0.5,0.833333333
0G82/20/2015,0G8,2/20/15,3/7/15,8,27,0:02:18,0:01:54,0:00:24,0:00:00,1:00:38,0.03793293,0.031335899,0.006597031,0,4,8,14,0.285714286,0.571428571
0G82/23/2015,0G8,2/23/15,3/10/15,9,27,0:03:20,0:03:20,0:00:00,0:02:51,0:30:15,0.110192837,0.110192837,0,0.094214876,2,5,7,0.285714286,0.714285714
0G82/24/2015,0G8,2/24/15,3/11/15,9,27,0:00:20,0:00:20,0:00:00,0:00:00,0:30:34,0.010905125,0.010905125,0,0,1,1,7,0.142857143,0.142857143
0G82/26/2015,0G8,2/26/15,3/13/15,9,27,0:03:09,0:03:09,0:00:00,0:00:00,0:30:10,0.10441989,0.10441989,0,0,1,1,7,0.142857143,0.142857143
0G82/27/2015,0G8,2/27/15,3/14/15,9,27,0:00:00,0:00:00,0:00:00,0:00:00,0:30:06,0,0,0,0,0,1,7,0,0.142857143
0G82/5/2015,0G8,2/5/15,2/20/15,6,27,0:00:00,0:00:00,0:00:00,0:00:00,0:30:04,0,0,0,0,1,1,7,0.142857143,0.142857143
0G83/11/2015,0G8,3/11/15,3/26/15,11,27,0:19:45,0:19:45,0:00:00,0:00:00,1:27:22,0.226058756,0.226058756,0,0,1,3,21,0.047619048,0.142857143
0G83/16/2015,0G8,3/16/15,3/31/15,12,27,0:00:00,0:00:00,0:00:00,0:00:00,0:30:18,0,0,0,0,4,8,7,0.571428571,1.142857143
0G83/17/2015,0G8,3/17/15,4/1/15,12,27,0:00:00,0:00:00,0:00:00,0:00:00,0:30:46,0,0,0,0,19,24,7,2.714285714,3.428571429
0G83/18/2015,0G8,3/18/15,4/2/15,12,27,0:00:00,0:00:00,0:00:00,0:00:00,1:00:08,0,0,0,0,2,2,14,0.142857143,0.142857143
0G83/2/2015,0G8,3/2/15,3/17/15,10,27,0:00:00,0:00:00,0:00:00,0:00:00,0:30:12,0,0,0,0,7,9,7,1,1.285714286
0G83/23/2015,0G8,3/23/15,4/7/15,13,27,0:00:00,0:00:00,0:00:00,0:00:00,0:30:17,0,0,0,0,3,3,6,0.5,0.5
0G83/26/2015,0G8,3/26/15,4/10/15,13,27,0:00:00,0:00:00,0:00:00,0:00:00,0:30:00,0,0,0,0,3,4,7,0.428571429,0.571428571
0G83/4/2015,0G8,3/4/15,3/19/15,10,27,0:00:51,0:00:51,0:00:00,0:00:00,1:30:49,0.009359516,0.009359516,0,0,10,17,21,0.476190476,0.80952381
0G83/9/2015,0G8,3/9/15,3/24/15,11,27,0:00:00,0:00:00,0:00:00,0:00:00,0:30:53,0,0,0,0,9,13,7,1.285714286,1.857142857
0G84/1/2015,0G8,4/1/15,4/16/15,14,27,0:00:00,0:00:00,0:00:00,0:00:00,1:31:01,0,0,0,0,9,20,21,0.428571429,0.952380952
0G84/10/2015,0G8,4/10/15,4/25/15,15,27,0:09:51,0:09:51,0:00:00,0:00:00,0:30:33,0.322422259,0.322422259,0,0,2,5,7,0.285714286,0.714285714
0G84/13/2015,0G8,4/13/15,4/28/15,16,27,0:02:00,0:02:00,0:00:00,0:00:00,1:01:10,0.032697548,0.032697548,0,0,19,28,14,1.357142857,2
0G84/14/2015,0G8,4/14/15,4/29/15,16,27,0:00:00,0:00:00,0:00:00,0:00:00,1:01:05,0,0,0,0,4,6,14,0.285714286,0.428571429
0G84/17/2015,0G8,4/17/15,5/2/15,16,27,0:00:00,0:00:00,0:00:00,0:00:00,0:28:34,0,0,0,0,1,2,5,0.2,0.4
0G84/20/2015,0G8,4/20/15,5/5/15,17,27,0:04:01,0:04:01,0:00:00,0:00:00,1:00:49,0.066045492,0.066045492,0,0,6,9,14,0.428571429,0.642857143
0G84/21/2015,0G8,4/21/15,5/6/15,17,27,0:00:00,0:00:00,0:00:00,0:00:00,0:30:01,0,0,0,0,4,5,7,0.571428571,0.714285714
0G84/23/2015,0G8,4/23/15,5/8/15,17,27,0:00:00,0:00:00,0:00:00,0:00:00,1:00:22,0,0,0,0,17,20,14,1.214285714,1.428571429
0G84/7/2015,0G8,4/7/15,4/22/15,15,27,0:00:00,0:00:00,0:00:00,0:00:00,0:30:06,0,0,0,0,2,4,7,0.285714286,0.571428571
0G84/8/2015,0G8,4/8/15,4/23/15,15,27,0:00:00,0:00:00,0:00:00,0:00:00,0:30:21,0,0,0,0,3,8,7,0.428571429,1.142857143
0G84/9/2015,0G8,4/9/15,4/24/15,15,27,0:04:07,0:00:00,0:04:07,0:00:00,0:30:15,0.136088154,0,0.136088154,0,0,0,7,0,0
0J01/14/2015,0J0,1/14/15,1/29/15,3,20,0:00:06,0:00:06,0:00:00,0:00:00,0:44:04,0.002269289,0.002269289,0,0,4,5,10,0.4,0.5
0J01/19/2015,0J0,1/19/15,2/3/15,4,20,0:03:47,0:03:47,0:00:00,0:00:33,0:45:06,0.083887657,0.083887657,0,0.012195122,3,4,10,0.3,0.4
0J01/20/2015,0J0,1/20/15,2/4/15,4,20,0:09:11,0:09:11,0:00:00,0:00:00,0:29:43,0.309029725,0.309029725,0,0,1,2,7,0.142857143,0.285714286
0J01/21/2015,0J0,1/21/15,2/5/15,4,20,0:00:00,0:00:00,0:00:00,0:00:00,0:29:56,0,0,0,0,3,4,7,0.428571429,0.571428571
0J01/26/2015,0J0,1/26/15,2/10/15,5,20,0:05:51,0:05:51,0:00:00,0:00:00,1:01:45,0.094736842,0.094736842,0,0,13,24,14,0.928571429,1.714285714
0J01/28/2015,0J0,1/28/15,2/12/15,5,20,0:00:00,0:00:00,0:00:00,0:00:00,0:30:53,0,0,0,0,4,9,7,0.571428571,1.285714286
0J01/29/2015,0J0,1/29/15,2/13/15,5,20,0:04:52,0:04:52,0:00:00,0:04:52,0:30:53,0.157582299,0.157582299,0,0.157582299,4,6,7,0.571428571,0.857142857
0J02/17/2015,0J0,2/17/15,3/4/15,8,20,0:00:00,0:00:00,0:00:00,0:00:00,0:20:54,0,0,0,0,0,0,4,0,0
0J02/19/2015,0J0,2/19/15,3/6/15,8,20,0:00:00,0:00:00,0:00:00,0:00:00,0:30:24,0,0,0,0,19,26,7,2.714285714,3.714285714
0J02/20/2015,0J0,2/20/15,3/7/15,8,20,0:11:30,0:11:30,0:00:00,0:11:30,0:30:02,0.38290788,0.38290788,0,0.38290788,4,5,7,0.571428571,0.714285714
0J02/23/2015,0J0,2/23/15,3/10/15,9,20,0:06:00,0:05:54,0:00:06,0:06:00,0:56:19,0.106540397,0.104764723,0.001775673,0.106540397,20,22,13,1.538461538,1.692307692
0J02/25/2015,0J0,2/25/15,3/12/15,9,20,0:07:00,0:07:00,0:00:00,0:07:00,1:01:23,0.114037469,0.114037469,0,0.114037469,7,12,12,0.583333333,1
0J02/3/2015,0J0,2/3/15,2/18/15,6,20,0:00:00,0:00:00,0:00:00,0:00:00,0:30:34,0,0,0,0,2,3,7,0.285714286,0.428571429
0J02/4/2015,0J0,2/4/15,2/19/15,6,20,0:10:17,0:09:14,0:01:03,0:00:56,0:30:11,0.340695748,0.305908338,0.03478741,0.030922142,5,5,7,0.714285714,0.714285714
0J02/6/2015,0J0,2/6/15,2/21/15,6,20,0:00:00,0:00:00,0:00:00,0:00:00,0:30:35,0,0,0,0,15,22,7,2.142857143,3.142857143
0J02/9/2015,0J0,2/9/15,2/24/15,7,20,0:03:21,0:03:21,0:00:00,0:03:21,0:30:17,0.110621904,0.110621904,0,0.110621904,4,4,6,0.666666667,0.666666667
0J03/11/2015,0J0,3/11/15,3/26/15,11,20,0:08:20,0:08:20,0:00:00,0:00:00,1:00:18,0.138197899,0.138197899,0,0,17,26,13,1.307692308,2
0J03/12/2015,0J0,3/12/15,3/27/15,11,20,0:09:16,0:09:16,0:00:00,0:09:16,0:26:53,0.344699318,0.344699318,0,0.344699318,7,12,6,1.166666667,2
0J03/13/2015,0J0,3/13/15,3/28/15,11,20,0:02:16,0:02:16,0:00:00,0:02:16,0:30:07,0.075262867,0.075262867,0,0.075262867,7,8,7,1,1.142857143
