ID,NEO_SampleNo,NEO_Date,NEO.CR,Behav_Date,DateDiff,Month,Rank,RelRank,TotalObservedTime,Total.GR,Total.GR.Rec,Total.GR.Given,FreqTotalGR,FreqGRRec,FreqGRGiven,ProxAll,Scansperday,FreqAllProx,TotalGRAF,TotalGrAM,TotalGrJuv,FreqGRAF,FreqTotalGrAM,FreqTotalGrJuv,GrRecAF,FreqGrRecAF,GrRecAM,FreqGrRecAM,GrRecJuv,FreqGrRecJuv,TimeSpentCop,TimeSpentConsort,FreqTimeSpentCop,FreqTimeSpentConsort
1E5,65,2/3/15,194.108359,1/20/15,14,1,25,0.480769231,0:45:10,0:00:00,0:00:00,0:00:00,0,0,0,6,10,0.6,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0,0:00:00,0,0:00:00,0,0:00:00,0:00:00,0,0
1E5,83,2/9/15,195.794496,1/26/15,14,1,25,0.480769231,0:30:16,0:00:00,0:00:00,0:00:00,0,0,0,7,7,1,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0,0:00:00,0,0:00:00,0,0:00:00,0:00:00,0,0
1E5,94,2/17/15,225.8544,2/3/15,14,2,25,0.480769231,0:29:49,0:00:00,0:00:00,0:00:00,0,0,0,1,6,0.166666667,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0,0:00:00,0,0:00:00,0,0:00:00,0:00:00,0,0
1E5,151,2/27/15,275.327871,2/10/15,17,2,25,0.480769231,0:30:08,0:00:35,0:00:35,0:00:00,0.019358,0.019358,0,7,7,1,0:00:35,0:00:00,0:00:00,0.019358,0,0,0:00:35,0.019358,0:00:00,0,0:00:00,0,0:00:00,0:00:00,0,0
1E5,221,3/18/15,145.508082,3/3/15,15,3,25,0.480769231,0:27:43,0:00:00,0:00:00,0:00:00,0,0,0,1,6,0.166666667,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0,0:00:00,0,0:00:00,0,0:00:03,0:00:00,0.001803969,0
1E5,299,4/6/15,256.900615,3/20/15,17,3,25,0.480769231,0:31:29,0:00:00,0:00:00,0:00:00,0,0,0,75,7,10.71428571,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0,0:00:00,0,0:00:00,0,0:00:00,0:00:00,0,0
1E5,309,4/7/15,196.983571,3/24/15,14,3,25,0.480769231,0:31:22,0:02:34,0:02:34,0:00:00,0.081828,0.081828,0,74,7,10.57142857,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0,0:00:00,0,0:02:34,0.081827843,0:00:00,0:00:00,0,0
1E5,328,4/14/15,506.459576,4/1/15,13,4,25,0.480769231,0:30:03,0:05:56,0:05:56,0:00:00,0.197449,0.197449,0,1,7,0.142857143,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0,0:00:00,0,0:05:56,0.197448697,0:00:00,0:00:00,0,0
1E5,361,4/20/15,317.448772,4/6/15,14,4,25,0.480769231,0:27:06,0:00:00,0:00:00,0:00:00,0,0,0,0,5,0,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0,0:00:00,0,0:00:00,0,0:00:00,0:00:00,0,0
0G8,117,2/20/15,133.853838,2/5/15,15,2,27,0.519230769,0:30:04,0:00:00,0:00:00,0:00:00,0,0,0,7,7,1,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0,0:00:00,0,0:00:00,0,0:00:06,0:00:00,0.003325942,0
0G8,148,2/26/15,161.1196,2/10/15,16,2,27,0.519230769,1:00:44,0:06:24,0:06:24,0:00:00,0.105379,0.105379,0,7,14,0.5,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0,0:00:00,0,0:06:24,0.105378705,0:00:00,0:00:00,0,0
0G8,160,3/2/15,145.856886,2/17/15,13,2,27,0.519230769,0:15:44,0:00:00,0:00:00,0:00:00,0,0,0,12,4,3,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0,0:00:00,0,0:00:00,0,0:00:00,0:00:00,0,0
0G8,217,3/18/15,137.045741,3/2/15,16,3,27,0.519230769,0:30:12,0:00:00,0:00:00,0:00:00,0,0,0,17,7,2.428571429,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0,0:00:00,0,0:00:00,0,0:00:00,0:00:00,0,0
0G8,247,3/24/15,133.492515,3/9/15,15,3,27,0.519230769,0:30:53,0:00:00,0:00:00,0:00:00,0,0,0,29,7,4.142857143,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0,0:00:00,0,0:00:00,0,0:00:00,0:00:00,0,0
0G8,274,4/1/15,121.056253,3/17/15,15,3,27,0.519230769,0:30:46,0:00:00,0:00:00,0:00:00,0,0,0,59,7,8.428571429,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0,0:00:00,0,0:00:00,0,0:00:00,0:00:00,0,0
0G8,310,4/8/15,144.762376,3/23/15,16,3,27,0.519230769,0:30:17,0:00:00,0:00:00,0:00:00,0,0,0,6,6,1,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0,0:00:00,0,0:00:00,0,0:00:00,0:00:00,0,0
0G8,354,4/17/15,112.21269,4/1/15,16,4,27,0.519230769,1:31:01,0:00:00,0:00:00,0:00:00,0,0,0,40,21,1.904761905,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0,0:00:00,0,0:00:00,0,0:00:00,0:00:00,0,0
